ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
26.3.7.3.0,,Outside,Foundation,"Foundation has exposed rebar or foundation is spalling, flaking, or chipping.","The structure has any exposed rebar.
OR
Foundation is spalling, flaking, or chipping, and the affected area is 12x12 inches or greater and goes into the foundation at a depth of ¾-inch or greater.",Moderate,30 days,Fail,30 days,"1. Look at a structure and examine it for any exposed rebar or spalling, flaking, or chipping in the foundation.",NONE,"1. If signs are found, measure the affected area.","1. If the overall foundation exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",Distance measuring device,NONE
26.1.8.3.0,,Unit,Foundation,Foundation is infiltrated by water.,Evidence of water infiltration through the foundation.,Moderate,30 days,Fail,30 days,"1. Look at the entire foundation for evidence of water infiltration (e.g., excessive dampness, collected water, stains, or mineral deposits). 
2. Look for evidence of water ponding against the foundation.",NONE,NONE,NONE,NONE,NONE
26.2.9.3.0,,Inside,Foundation,Foundation is infiltrated by water.,Evidence of water infiltration through the foundation.,Moderate,30 days,Fail,30 days,"1. Look at the entire foundation for evidence of water infiltration (e.g., excessive dampness, collected water, stains, or mineral deposits).
2. Look for evidence of water ponding against the foundation.",NONE,NONE,NONE,NONE,NONE
26.1.10.3.0,,Unit,Foundation,"Foundation support post, column, beam, or girder is damaged.","Any support post, column, or girder area is damaged (i.e., visibly defective; impacts functionality).",Moderate,30 days,Fail,30 days,"1. Look at the foundation and identify if there are any areas of damage (e.g., rot) on support posts, columns, or girders.",NONE,NONE,"1. If the overall foundation exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",NONE,NONE
26.2.11.3.0,,Inside,Foundation,"Foundation support post, column, beam, or girder is damaged.","Any support post, column, or girder area is damaged (i.e., visibly defective; impacts functionality).",Moderate,30 days,Fail,30 days,"1. Look at the foundation and identify if there are any areas of damage (e.g., rot) on support posts, columns, or girders.",NONE,NONE,"1. If the overall foundation exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",NONE,NONE
26.3.12.3.0,,Outside,Foundation,"Foundation support post, column, beam, or girder is damaged.","Any support post, column, or girder area is damaged (i.e., visibly defective; impacts functionality).",Moderate,30 days,Fail,30 days,"1. Look at the foundation and identify if there are any areas of damage (e.g., rot) on support posts, columns, or girders.",NONE,NONE,"1. If the overall foundation exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",NONE,NONE
27.1.1.3.0,,Unit,Garage Door,Garage door has a hole.,Garage door has a hole of any size that penetrates through to the interior.,Moderate,30 days,Fail,30 days,1. Visually inspect the garage door to identify any holes.,NONE,NONE,"1. For the purposes of this deficiency, holes may include missing (i.e., evidence of prior installation, but now not present or is incomplete) or broken panels or windows.",NONE,Flashlight
27.2.2.3.0,,Inside,Garage Door,Garage door has a hole.,Garage door has a hole of any size that penetrates through to the interior.,Moderate,30 days,Fail,30 days,1. Visually inspect the garage door to identify any holes.,NONE,NONE,"1. For the purposes of this deficiency, holes may include missing (i.e., evidence of prior installation, but now not present or is incomplete) or broken panels or windows.",NONE,Flashlight
27.3.3.3.0,,Outside,Garage Door,Garage door has a hole.,Garage door has a hole of any size that penetrates through to the interior.,Moderate,30 days,Fail,30 days,1. Visually inspect the garage door to identify any holes.,NONE,NONE,"1. For the purposes of this deficiency, holes may include missing (i.e., evidence of prior installation, but now not present or is incomplete) or broken panels or windows.",NONE,Flashlight
27.1.4.3.0,,Unit,Garage Door,"Garage door does not open, close, or remain open or closed.","Door will not open and remain open. 
OR 
Door will not close and remain closed.",Moderate,30 days,Fail,30 days,1. Look to see if the garage door can be opened manually or electronically.,NONE,"Manual Door: 
1. Open the door manually.
2. Verify the door remains open. 
3. Manually close the door. 
4. Verify the door remains closed. 

Electronic Door: 
1. Use remote, keypad, or switch to open the door electronically. 
2. Verify the door remains open. 
3. Use remote, keypad, or switch to close the door. 
4. Verify nothing is in the path of the sensors. 
5. Verify the door remains closed.",NONE,NONE,NONE
27.2.5.3.0,,Inside,Garage Door,"Garage door does not open, close, or remain open or closed.","Door will not open and remain open. 
OR 
Door will not close and remain closed.",Moderate,30 days,Fail,30 days,1. Look to see if the garage door can be opened manually or electronically.,NONE,"Manual Door: 
1. Open the door manually.
2. Verify the door remains open. 
3. Manually close the door. 
4. Verify the door remains closed. 

Electronic Door: 
1. Use remote, keypad, or switch to open the door electronically. 
2. Verify the door remains open. 
3. Use remote, keypad, or switch to close the door. 
4. Verify nothing is in the path of the sensors. 
5. Verify the door remains closed.",NONE,NONE,NONE
27.3.6.3.0,,Outside,Garage Door,"Garage door does not open, close, or remain open or closed.","Door will not open and remain open. 
OR 
Door will not close and remain closed.",Moderate,30 days,Fail,30 days,1. Look to see if the garage door can be opened manually or electronically.,NONE,"Manual Door: 
1. Open the door manually.
2. Verify the door remains open. 
3. Manually close the door. 
4. Verify the door remains closed. 

Electronic Door: 
1. Use remote, keypad, or switch to open the door electronically. 
2. Verify the door remains open. 
3. Use remote, keypad, or switch to close the door. 
4. Verify nothing is in the path of the sensors. 
5. Verify the door remains closed.",NONE,NONE,NONE
28.1.1.3.0,,Unit,Grab Bar,Grab bar is not secure.,Any movement whatsoever is detected in the grab bar.,Moderate,30 days,Fail,30 days,NONE,NONE,"1. If present, grab the bar in the middle and apply moderate force back and forth.",NONE,NONE,NONE
28.2.2.3.0,,Inside,Grab Bar,Grab bar is not secure.,Any movement whatsoever is detected in the grab bar.,Moderate,30 days,Fail,30 days,NONE,NONE,"1. If present, grab the bar in the middle and apply moderate force back and forth.",NONE,NONE,NONE
29.1.1.3.0,Not Scored for 12 Months,Unit,Guardrail,Guardrail is missing or not installed.,"The guardrail is missing (i.e., evidence of prior installation, but is now not present or is incomplete) or not installed (i.e., never installed, but should have been) along a walking surface that is more than 30 inches above the floor or grade below.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify any elevated walking surfaces. 
2. If the vertical distance measures more than 30 inches above the floor or grade below, verify if the guardrail is present
3. If not present, look for evidence of a previously installed guardrail that is now missing or incomplete.",NONE,"1. If present, measure the vertical distance between the elevated walking surface and the floor or grade below.",1. This deficiency should only be evaluated in areas that are accessible to the resident.,Distance measuring device,NONE
29.2.2.3.0,Not Scored for 12 Months,Inside,Guardrail,Guardrail is missing or not installed.,"The guardrail is missing (i.e., evidence of prior installation, but is now not present or is incomplete) or not installed (i.e., never installed, but should have been) along a walking surface that is more than 30 inches above the floor or grade below.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify any elevated walking surfaces.
2. If the vertical distance measures more than 30 inches above the floor or grade below, verify if the guardrail is present. 
3. If not present, look for evidence of a previously installed guardrail that is now missing or incomplete.",NONE,"1. If present, measure the vertical distance between the elevated walking surface and the floor or grade below.",1. This deficiency should only be evaluated in areas that are accessible to the resident.,Distance measuring device,NONE
29.3.3.3.0,Not Scored for 12 Months,Outside,Guardrail,Guardrail is missing or not installed.,"The guardrail is missing (i.e., evidence of prior installation, but is now not present or is incomplete) or not installed (i.e., never installed, but should have been) along a walking surface that is more than 30 inches above the floor or grade below.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify any elevated walking surfaces.
2. If the vertical distance measures more than 30 inches above the floor or grade below, verify if the guardrail is present. 
3. If not present, look for evidence of a previously installed guardrail that is now missing or incomplete.",NONE,"1. If present, measure the vertical distance between the elevated walking surface and the floor or grade below.",1. This deficiency should only be evaluated in areas that are accessible to the resident.,Distance measuring device,NONE
29.1.4.3.0,Not Scored for 12 Months,Unit,Guardrail,Guardrail is not functionally adequate.,"Guardrail is missing functional component(s) (i.e., a component that is critical to the guardrail protecting from fall hazards).
OR
Guardrail is damaged (i.e., visibly defective; impacts functionality).
OR 
Guardrail is less than 30 inches in height.
OR
Guardrail is not securely attached and cannot reasonably protect from fall hazards.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all guardrails.
2. Visually inspect to identify any missing functional component(s) or damage. 
3. Visually inspect to determine if the guardrail is securely attached at connection and anchor points. 
4. Determine if the guardrail can reasonably protect from fall hazards.",NONE,"1. Measure the height of the guardrail.
2. Grab the guardrail and apply force to each section, pushing and pulling rapidly to determine if the guardrail is securely attached.","1. A functional component (e.g., top rail, base rail, anchor, fastener, post, baluster, or picket) is one that is critical to the guardrail protecting from fall hazards. 
2. A decorative or ornamental component (e.g., post cap) should not be evaluated under this defect.",Distance measuring device,NONE
29.2.5.3.0,Not Scored for 12 Months,Inside,Guardrail,Guardrail is not functionally adequate.,"Guardrail is missing functional component(s) (i.e., a component that is critical to the guardrail protecting from fall hazards).
OR
Guardrail is damaged (i.e., visibly defective; impacts functionality).
OR 
Guardrail is less than 30 inches in height.
OR
Guardrail is not securely attached and cannot reasonably protect from fall hazards.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all guardrails.
2. Visually inspect to identify any missing functional component(s) or damage. 
3. Visually inspect to determine if the guardrail is securely attached at connection and anchor points. 
4. Determine if the guardrail can reasonably protect from fall hazards.",NONE,"1. Measure the height of the guardrail.
2. Grab the guardrail and apply force to each section, pushing and pulling rapidly to determine if the guardrail is securely attached.","1. A functional component (e.g., top rail, base rail, anchor, fastener, post, baluster, or picket) is one that is critical to the guardrail protecting from fall hazards. 
2. A decorative or ornamental component (e.g., post cap) should not be evaluated under this defect.",Distance measuring device,NONE
29.3.6.3.0,Not Scored for 12 Months,Outside,Guardrail,Guardrail is not functionally adequate.,"Guardrail is missing functional component(s) (i.e., a component that is critical to the guardrail protecting from fall hazards).
OR
Guardrail is damaged (i.e., visibly defective; impacts functionality).
OR 
Guardrail is less than 30 inches in height.
OR
Guardrail is not securely attached and cannot reasonably protect from fall hazards.",Life-Threatening,24 hours,Fail,24 hours,"1. Identify all guardrails.
2. Visually inspect to identify any missing functional component(s) or damage. 
3. Visually inspect to determine if the guardrail is securely attached at connection and anchor points. 
4. Determine if the guardrail can reasonably protect from fall hazards.",NONE,"1. Measure the height of the guardrail.
2. Grab the guardrail and apply force to each section, pushing and pulling rapidly to determine if the guardrail is securely attached.","1. A functional component (e.g., top rail, base rail, anchor, fastener, post, baluster, or picket) is one that is critical to the guardrail protecting from fall hazards. 
2. A decorative or ornamental component (e.g., post cap) should not be evaluated under this defect.",Distance measuring device,NONE
30.1.1.3.0,Never Scored,Unit,Handrail,Handrail is missing.,"Handrail is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Look for all areas with stairs or ramps, or along the walls in hallways where handrails may be present. 
2. Verify a handrail is present on at least one side of each continuous run of treads.",NONE,"1. Stairs: Count the number of steps.
2. Ramp: Measure the length and rise of the ramp.","1. Stairs: A handrail is required if 4 or more risers are present. 
2. Ramp: When a ramp has a rise greater than 6 inches or a horizontal projection greater than 72 inches, then handrails must be present on both sides.",Distance measuring device.,NONE
30.2.2.3.0,Never Scored,Inside,Handrail,Handrail is missing.,"Handrail is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Look for all areas with stairs or ramps, or along the walls in hallways where handrails may be present. 
2. Verify a handrail is present on at least one side of each continuous run of treads.",NONE,"1. Stairs: Count the number of steps.
2. Ramp: Measure the length and rise of the ramp.","1. Stairs: A handrail is required if 4 or more risers are present. 
2. Ramp: When a ramp has a rise greater than 6 inches or a horizontal projection greater than 72 inches, then handrails must be present on both sides.",Distance measuring device.,NONE
30.3.3.3.0,Never Scored,Outside,Handrail,Handrail is missing.,"Handrail is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Look for all areas with stairs or ramps, or along the walls in hallways where handrails may be present. 
2. Verify a handrail is present on at least one side of each continuous run of treads.",NONE,"1. Stairs: Count the number of steps.
2. Ramp: Measure the length and rise of the ramp.","1. Stairs: A handrail is required if 4 or more risers are present. 
2. Ramp: When a ramp has a rise greater than 6 inches or a horizontal projection greater than 72 inches, then handrails must be present on both sides.",Distance measuring device.,NONE
30.1.4.3.0,,Unit,Handrail,Handrail is not secure.,There is movement in the anchors of the handrail.,Moderate,30 days,Fail,30 days,1. Look for movement of the handrail when tested.,NONE,"1. Grab the handrail and rapidly push and pull the with moderate force. 
2. Perform this action at both ends and the middle of the handrail. 
3. If there is no movement, disregard this deficiency. 
4. If there is movement, continue. 
5. Ensure handrails are firmly attached with no movement at anchor points.","1. The handrail and top rail of the stair rail system must be able to withstand, without failure, at least 200 pounds of weight applied within 2 inches of the top edge in any downward or outward direction, at any point along the top edge.",NONE,NONE
30.2.5.3.0,,Inside,Handrail,Handrail is not secure.,There is movement in the anchors of the handrail.,Moderate,30 days,Fail,30 days,1. Look for movement of the handrail when tested.,NONE,"1. Grab the handrail and rapidly push and pull the with moderate force. 
2. Perform this action at both ends and the middle of the handrail. 
3. If there is no movement, disregard this deficiency. 
4. If there is movement, continue. 
5. Ensure handrails are firmly attached with no movement at anchor points.","1. The handrail and top rail of the stair rail system must be able to withstand, without failure, at least 200 pounds of weight applied within 2 inches of the top edge in any downward or outward direction, at any point along the top edge.",NONE,NONE
30.3.6.3.0,,Outside,Handrail,Handrail is not secure.,There is movement in the anchors of the handrail.,Moderate,30 days,Fail,30 days,1. Look for movement of the handrail when tested.,NONE,"1. Grab the handrail and rapidly push and pull the with moderate force. 
2. Perform this action at both ends and the middle of the handrail. 
3. If there is no movement, disregard this deficiency. 
4. If there is movement, continue. 
5. Ensure handrails are firmly attached with no movement at anchor points.","1. The handrail and top rail of the stair rail system must be able to withstand, without failure, at least 200 pounds of weight applied within 2 inches of the top edge in any downward or outward direction, at any point along the top edge.",NONE,NONE
30.1.7.3.0,,Unit,Handrail,Handrail is not functionally adequate.,"Handrail is not functionally adequate (i.e., it cannot reasonably be grasped by hand to provide stability or support when ascending or descending stairways). 
OR
Handrail is not continuous for the full length of each stair flight. 
OR
Handrail is not between 28 inches and 42 inches in height.",Moderate,30 days,Fail,30 days,1. Look to ensure that the handrail is continuous for the full length of each stair flight.,NONE,"1. Measure the height of the handrail. 
2. Determine if the handrail is functionally adequate.",NONE,Distance measuring device,NONE
30.2.8.3.0,,Inside,Handrail,Handrail is not functionally adequate.,"Handrail is not functionally adequate (i.e., it cannot reasonably be grasped by hand to provide stability or support when ascending or descending stairways). 
OR
Handrail is not continuous for the full length of each stair flight. 
OR
Handrail is not between 28 inches and 42 inches in height.",Moderate,30 days,Fail,30 days,1. Look to ensure that the handrail is continuous for the full length of each stair flight.,NONE,"1. Measure the height of the handrail. 
2. Determine if the handrail is functionally adequate.",NONE,Distance measuring device,NONE
30.3.9.3.0,,Outside,Handrail,Handrail is not functionally adequate.,"Handrail is not functionally adequate (i.e., it cannot reasonably be grasped by hand to provide stability or support when ascending or descending stairways). 
OR
Handrail is not continuous for the full length of each stair flight. 
OR
Handrail is not between 28 inches and 42 inches in height.",Moderate,30 days,Fail,30 days,1. Look to ensure that the handrail is continuous for the full length of each stair flight.,NONE,"1. Measure the height of the handrail. 
2. Determine if the handrail is functionally adequate.",NONE,Distance measuring device,NONE
30.1.10.3.0,Never Scored,Unit,Handrail,Handrail is not installed where required. ,"4 or more stair risers are present and a handrail is not installed. 
OR
A ramp has a rise greater than 6 inches or a horizontal projection greater than 72 inches and a handrail is not installed on both sides.",N/A,N/A,Pass,N/A,"1. Look for all areas with stairs or ramps, or along the walls in hallways where handrails may be present.
2. Verify handrail present on at least one side of each continuous run of treads.",NONE,"1. Stairs: Count the number of steps.
2. Ramp: Measure the length and rise of the ramp. ",NONE,Distance measuring device,NONE
30.2.11.3.0,Never Scored,Inside,Handrail,Handrail is not installed where required. ,"4 or more stair risers are present and a handrail is not installed. 
OR
A ramp has a rise greater than 6 inches or a horizontal projection greater than 72 inches and a handrail is not installed on both sides.",Low,60 days,Pass,N/A,"1. Look for all areas with stairs or ramps, or along the walls in hallways where handrails may be present.
2. Verify handrail present on at least one side of each continuous run of treads.",NONE,"1. Stairs: Count the number of steps.
2. Ramp: Measure the length and rise of the ramp. ",NONE,Distance measuring device,NONE
30.3.12.3.0,Never Scored,Outside,Handrail,Handrail is not installed where required. ,"4 or more stair risers are present and a handrail is not installed. 
OR
A ramp has a rise greater than 6 inches or a horizontal projection greater than 72 inches and a handrail is not installed on both sides.",Low,60 days,Pass,N/A,"1. Look for all areas with stairs or ramps, or along the walls in hallways where handrails may be present.
2. Verify handrail present on at least one side of each continuous run of treads.",NONE,"1. Stairs: Count the number of steps.
2. Ramp: Measure the length and rise of the ramp. ",NONE,Distance measuring device,NONE
31.1.1.3.0,Not Scored for 12 Months,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)",The inspection date is on or between October 1 and March 31 and the permanently installed heating source is not working or the permanently installed heating source is working and the interior temperature is below 64 degrees Fahrenheit.,"The inspection date is on or between October 1 and March 31. 
AND
The permanently installed heating source is not working. 
OR
The permanently installed heating source is working and the interior temperature is below 64 degrees Fahrenheit.",Life-Threatening,24 hours,Fail,24 hours,"1. Determine if the permanently installed heating source is working. 
2. Identify each interior room that has an exterior wall. ",1. Ask the resident or POA to engage the permanently installed heating source.,"1. Using an ambient thermometer, measure the interior air temperature three (3) feet above the floor and two (2) feet from an exterior wall.","1. A permanently installed heating source is:
- one that is installed and self-fueled. 
- permanently affixed within the unit or building.
- safely connected to the unit or building electrical system.
- thermostatically controlled by the unit or building. 
2. A permanently installed heating source may:
- include forced air heating, radiant heat, baseboard units heated by electric, or installed wall units. 
- have an electric, gas, or oil energy source.
3. A permanently installed heating source may not be: 
- cooking appliances. 
- portable space heaters. 
- fireplaces or wood stoves.
4. This deficiency does not apply to: 
- mechanical rooms or closets. 
- Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Commonwealth of Northern Mariana Islands.",Distance measuring device; Ambient thermometer,NONE
31.1.2.3.0,Not Scored for 12 Months,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)",The inspection date is on or between October 1 and March 31 and the permanently installed heating source is working and the interior temperature is 64 to 67.9 degrees Fahrenheit.,"The inspection date is on or between October 1 and March 31. 
AND
The permanently installed heating source is working and the interior temperature is 64 to 67.9 degrees Fahrenheit.",Severe,24 hours,Fail,30 days,"1. Determine if the permanently installed heating is working. 
2. Identify each interior room that has an exterior wall. ",1. Ask the resident or POA to engage the permanently installed heating source.,"1. Using an ambient thermometer, measure the interior air temperature three (3) feet above the floor and two (2) feet from an exterior wall.","1. A permanently installed heating source is:
- one that is installed and self-fueled. 
- permanently affixed within the unit or building.
- safely connected to the unit or building electrical system.
- thermostatically controlled by the unit or building. 
2. A permanently installed heating source may:
- include forced air heating, radiant heat, baseboard units heated by electric, or installed wall units. 
- have an electric, gas, or oil energy source.
3. A permanently installed heating source may not be: 
- cooking appliances. 
- portable space heaters. 
- fireplaces or wood stoves.
4. This deficiency does not apply to: 
- mechanical rooms or closets. 
- Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Commonwealth of Northern Mariana Islands.",Distance measuring device; Ambient thermometer,NONE
31.1.3.3.0,,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)",Air conditioning system or device is not operational.,"System or device does not turn on. 
OR
System or device only produces hot or room temperature air.",Moderate,30 days,Fail,30 days,"1. Look for the cooling system or device (e.g., a window unit or access panel to a central air system) and determine if it is on.
2. Listen to hear if the system or device powers on following a request to the POA.","1. If present and not on, ask the resident or POA to turn the system or device on.",1. Place your hand near the system or device to feel for cooled air.,NONE,NONE,NONE
31.2.4.3.0,,Inside,"Heating, Ventilation, and Air Conditioning (HVAC)",Air conditioning system or device is not operational.,"System or device does not turn on. 
OR
System or device only produces hot or room temperature air.",Low,60 days,Pass,N/A,"1. Look for the cooling system or device (e.g., a window unit or access panel to a central air system) and determine if it is on.
2. Listen to hear if the system or device powers on following a request to the POA.","1. If present and not on, ask the resident or POA to turn the system or device on.",1. Place your hand near the system or device to feel for cooled air.,NONE,NONE,NONE
31.1.5.3.0,,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)","Unvented space heater that burns gas, oil, or kerosene is present.","Unvented space heater that burns gas, oil, or kerosene is present.",Life-Threatening,24 hours,Fail,24 hours,1. Visually inspect the space heater to verify if vent is present. ,1. Ask the resident or POA if the Unit is heated by a fuel burning device.,NONE,NONE,NONE,NONE
31.2.6.3.0,,Inside,"Heating, Ventilation, and Air Conditioning (HVAC)","Unvented space heater that burns gas, oil, or kerosene is present.","Unvented space heater that burns gas, oil, or kerosene is present.",Life-Threatening,24 hours,Fail,24 hours,1. Visually inspect the space heater to verify if vent is present. ,1. Ask the POA if the Inside is heated by a fuel burning device.,NONE,NONE,NONE,NONE
31.1.7.3.0,,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)",Combustion chamber cover or gas shutoff valve is missing from a fuel burning heating appliance.,"Combustion chamber cover or gas shutoff valve is missing (i.e., evidence of prior installation, but is now not present or is incomplete) from a fuel burning heating appliance.",Life-Threatening,24 hours,Fail,24 hours,1. Visually inspect the fuel burning heating appliance for evidence that a combustion chamber cover or gas shutoff valve was previously installed and is now not present or is incomplete.,"1. If unable to locate, ask the resident or POA to identify the location of the fuel burning heating appliance.",NONE,NONE,NONE,Flashlight; Inspection mirror
31.2.8.3.0,,Inside,"Heating, Ventilation, and Air Conditioning (HVAC)",Combustion chamber cover or gas shutoff valve is missing from a fuel burning heating appliance.,"Combustion chamber cover or gas shutoff valve is missing (i.e., evidence of prior installation, but is now not present or is incomplete) from a fuel burning heating appliance.",Life-Threatening,24 hours,Fail,24 hours,1. Visually inspect the fuel burning heating appliance for evidence that a combustion chamber cover or gas shutoff valve was previously installed and is now not present or is incomplete.,"1. If unable to locate, ask the POA to identify the location of the fuel burning heating appliance.",NONE,NONE,NONE,Flashlight; Inspection mirror
31.1.9.3.0,,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)",Heating system or device safety shield is damaged or missing.,"Heating system or device safety shield is damaged (i.e., visibly defective; impacts functionality) or missing (i.e., evidence of prior installation, but is now not present or is incomplete).",Severe,24 hours,Fail,30 days,"1. Visually inspect for any damage to the safety shield. 
2. Visually inspect for evidence that a safety shield was previously installed and is now not present or is incomplete.",NONE,NONE,NONE,NONE,NONE
31.2.10.3.0,,Inside,"Heating, Ventilation, and Air Conditioning (HVAC)",Heating system or device safety shield is damaged or missing.,"Heating system or device safety shield is damaged (i.e., visibly defective; impacts functionality) or missing (i.e., evidence of prior installation, but is now not present or is incomplete).",Severe,24 hours,Fail,30 days,"1. Visually inspect for any damage to the safety shield. 
2. Visually inspect for evidence that a safety shield was previously installed and is now not present or is incomplete.",NONE,NONE,NONE,NONE,NONE
31.1.11.3.0,Not Scored for 12 Months,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)","The inspection date is on or between April 1 and September 30 and a permanently installed heating source is damaged, inoperable, missing, or not installed.","The inspection date is on or between April 1 and September 30. 
AND
A permanently installed heating source is damaged (i.e., visibly defective; impacts functionality).
OR
A permanently installed heating source is inoperable (i.e., not meeting function or purpose, with or without visible damage).
OR
A permanently installed heating source is missing (i.e., evidence of prior installation, but is now not present or is incomplete). 
OR
A permanently installed heating source is not installed.  ",Moderate,30 days,Fail,30 days,"1. Determine if a permanently installed heating source is present. 
2. If present, visually inspect to identify any damage.
3. Determine if the permanently installed heating is working.  ",1. Ask the resident or POA to engage the permanently installed heating source.,NONE,"1. A permanently installed heating source is:
- one that is installed and self-fueled. 
- permanently affixed within the unit or building.
- safely connected to the unit or building electrical system.
- thermostatically controlled by the unit or building. 
2. A permanently installed heating source may:
- include forced air heating, radiant heat, baseboard units heated by electric, or installed wall units. 
- have an electric, gas, or oil energy source.
3. A permanently installed heating source may not be: 
- cooking appliances. 
- portable space heaters. 
- fireplaces or wood stoves.
4. This deficiency does not apply to: 
- mechanical rooms or closets. 
- Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Commonwealth of Northern Mariana Islands.
5. If a heat pump system is operating in the air conditioning mode, then do not test the heat mode.
6. If the heating system cannot be turned on due to design (e.g., system that is switched from a boiler to a chiller during the summer; a fuel-burning heating system that will not engage when the outside temperature is above a certain threshold), then do not evaluate under this deficiency.  ",NONE,Flashlight; Inspection mirror
31.2.12.3.0,Not Scored for 12 Months,Inside,"Heating, Ventilation, and Air Conditioning (HVAC)","The inspection date is on or between April 1 and September 30 and a permanently installed heating source is damaged, inoperable, missing, or not installed.","The inspection date is on or between April 1 and September 30. 
AND
A permanently installed heating source is damaged (i.e., visibly defective; impacts functionality).
OR
A permanently installed heating source is inoperable (i.e., not meeting function or purpose, with or without visible damage).
OR
A permanently installed heating source is missing (i.e., evidence of prior installation, but is now not present or is incomplete). 
OR
A permanently installed heating source is not installed.  ",Moderate,30 days,Fail,30 days,"1. Determine if a permanently installed heating source is present. 
2. If present, visually inspect to identify any damage.
3. Determine if the permanently installed heating is working.  ",1. Ask the POA to engage the permanently installed heating source.,NONE,"1. A permanently installed heating source is:
- one that is installed and self-fueled. 
- permanently affixed within the unit or building.
- safely connected to the unit or building electrical system.
- thermostatically controlled by the unit or building. 
2. A permanently installed heating source may:
- include forced air heating, radiant heat, baseboard units heated by electric, or installed wall units. 
- have an electric, gas, or oil energy source.
3. A permanently installed heating source may not be: 
- cooking appliances. 
- portable space heaters. 
- fireplaces or wood stoves.
4. This deficiency does not apply to: 
- mechanical rooms or closets. 
- Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Commonwealth of Northern Mariana Islands.
5. If a heat pump system is operating in the air conditioning mode, then do not test the heat mode.
6. If the heating system cannot be turned on due to design (e.g., system that is switched from a boiler to a chiller during the summer; a fuel-burning heating system that will not engage when the outside temperature is above a certain threshold), then do not evaluate under this deficiency.  ",NONE,Flashlight; Inspection mirror
31.1.13.3.0,,Unit,"Heating, Ventilation, and Air Conditioning (HVAC)","Fuel burning heating system or device exhaust vent is misaligned, blocked, disconnected, improperly connected, damaged, or missing. ","Fuel burning heating system or device is present. 
AND
Exhaust vent is misaligned, blocked, disconnected, or improperly connected through to the ceiling or wall. 
OR
Exhaust vent is damaged (i.e., visibly defective; impacts functionality). 
OR
Exhaust vent is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at fuel burning heating system or device to confirm exhaust vent is:
- Properly connected through to the ceiling or wall; and
- Free of any holes or blockage due to bending, warping, collapse, or foreign material.
2. Check for exhaust vent cap.
3. Verify exhaust vent has no downward slope.",1. Ask the resident or POA if the Unit is heated by a fuel burning device.,NONE,1. Metal tape is not a substitute for improperly connected flue vents. ,NONE,NONE
31.2.14.3.0,,Inside,"Heating, Ventilation, and Air Conditioning (HVAC)","Fuel burning heating system or device exhaust vent is misaligned, blocked, disconnected, improperly connected, damaged, or missing. ","Fuel burning heating system or device is present. 
AND
Exhaust vent is misaligned, blocked, disconnected, or improperly connected through to the ceiling or wall. 
OR
Exhaust vent is damaged (i.e., visibly defective; impacts functionality). 
OR
Exhaust vent is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at fuel burning heating system or device to confirm exhaust vent is:
- Properly connected through to the ceiling or wall; and
- Free of any holes or blockage due to bending, warping, collapse, or foreign material.
2. Check for exhaust vent cap.
3. Verify exhaust vent has no downward slope.",1. Ask the POA if the Inside is heated by a fuel burning device.,NONE,1. Metal tape is not a substitute for improperly connected flue vents. ,NONE,NONE
